timestamp,java_nio_BufferPool_Count,java_nio_BufferPool_MemoryUsed,java_nio_BufferPool_TotalCapacity,jmx_config_reload_failure_created,jmx_config_reload_failure_total,jmx_config_reload_success_created,jmx_config_reload_success_total,jmx_exporter_build_info,jmx_scrape_cached_beans,jmx_scrape_duration_seconds,jmx_scrape_error,jvm_buffer_pool_capacity_bytes,jvm_buffer_pool_used_buffers,jvm_buffer_pool_used_bytes,jvm_classes_currently_loaded,jvm_classes_loaded_total,jvm_classes_unloaded_total,jvm_gc_collection_seconds_count,jvm_gc_collection_seconds_sum,jvm_info,jvm_memory_bytes_committed,jvm_memory_bytes_init,jvm_memory_bytes_max,jvm_memory_bytes_used,jvm_memory_objects_pending_finalization,jvm_memory_pool_allocated_bytes_created,jvm_memory_pool_allocated_bytes_total,jvm_memory_pool_bytes_committed,jvm_memory_pool_bytes_init,jvm_memory_pool_bytes_max,jvm_memory_pool_bytes_used,jvm_memory_pool_collection_committed_bytes,jvm_memory_pool_collection_init_bytes,jvm_memory_pool_collection_max_bytes,jvm_memory_pool_collection_used_bytes,jvm_threads_current,jvm_threads_daemon,jvm_threads_deadlocked,jvm_threads_deadlocked_monitor,jvm_threads_peak,jvm_threads_started_total,jvm_threads_state,process_cpu_seconds_total,process_max_fds,process_open_fds,process_resident_memory_bytes,process_start_time_seconds,process_virtual_memory_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2023-12-08 14:30:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.02291209,0.0,0.0,0.0,0.0,6238.0,6238.0,0.0,18.0,0.243,1.0,66150400.0,2555904.0,-1.0,64273656.0,0.0,1702028119.794,68071536.0,18350080.0,89128960.0,18350080.0,1703952.0,18350080.0,89128960.0,18350080.0,1703952.0,47.0,41.0,0.0,0.0,71.0,140.0,9.0,97.11,1048576.0,1266.0,733589504.0,1702028117.377,35502317568.0,0.048997508,558.0,558.0,558.0,1.0
2023-12-08 14:31:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.022502787,0.0,0.0,0.0,0.0,6384.0,6384.0,0.0,18.0,0.243,1.0,68182016.0,2555904.0,-1.0,66706192.0,0.0,1702028119.794,68071536.0,18350080.0,89128960.0,18350080.0,1703952.0,18350080.0,89128960.0,18350080.0,1703952.0,49.0,43.0,0.0,0.0,71.0,240.0,9.0,98.73,1048576.0,1269.0,735436800.0,1702028117.377,35502317568.0,0.039965618,558.0,558.0,0.0,1.0
2023-12-08 14:32:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.025641717,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,20.0,0.282,1.0,71655424.0,2555904.0,-1.0,69756800.0,0.0,1702028119.794,73742384.0,16252928.0,89128960.0,16252928.0,7374800.0,16252928.0,89128960.0,16252928.0,7374800.0,53.0,47.0,0.0,0.0,88.0,594.0,10.0,230.65,1048576.0,1318.0,733126656.0,1702028117.377,35525275648.0,0.045442744,558.0,558.0,0.0,1.0
2023-12-08 14:33:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.015700942,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,25.0,0.361,1.0,73031680.0,2555904.0,-1.0,71468664.0,0.0,1702028119.794,75104840.0,7864320.0,89128960.0,7864320.0,7538656.0,7864320.0,89128960.0,7864320.0,7538656.0,73.0,67.0,0.0,0.0,90.0,1065.0,16.0,402.54,1048576.0,1345.0,704061440.0,1702028117.377,35526328320.0,0.030987617,558.0,558.0,0.0,1.0
2023-12-08 14:34:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.019049864,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,25.0,0.361,1.0,73097216.0,2555904.0,-1.0,71641424.0,0.0,1702028119.794,75104840.0,7864320.0,89128960.0,7864320.0,7538656.0,7864320.0,89128960.0,7864320.0,7538656.0,75.0,69.0,0.0,0.0,90.0,1095.0,14.0,413.41,1048576.0,1349.0,704565248.0,1702028117.377,35526328320.0,0.034107866,558.0,558.0,0.0,1.0
2023-12-08 14:35:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.016996317,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,26.0,0.375,1.0,73162752.0,2555904.0,-1.0,71645664.0,0.0,1702028119.794,75104840.0,11534336.0,89128960.0,11534336.0,7438368.0,11534336.0,89128960.0,11534336.0,7438368.0,77.0,71.0,0.0,0.0,90.0,1131.0,16.0,426.33,1048576.0,1349.0,698920960.0,1702028117.377,35526328320.0,0.034003493,558.0,558.0,0.0,1.0
2023-12-08 14:36:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.019493857,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,26.0,0.375,1.0,73162752.0,2555904.0,-1.0,71405184.0,0.0,1702028119.794,75104840.0,11534336.0,89128960.0,11534336.0,7438368.0,11534336.0,89128960.0,11534336.0,7438368.0,81.0,75.0,0.0,0.0,90.0,1189.0,18.0,441.12,1048576.0,1358.0,698265600.0,1702028117.377,35526328320.0,0.034280269,558.0,558.0,0.0,1.0
2023-12-08 14:37:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.01969004,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,26.0,0.375,1.0,73162752.0,2555904.0,-1.0,71510296.0,0.0,1702028119.794,75104840.0,11534336.0,89128960.0,11534336.0,7438368.0,11534336.0,89128960.0,11534336.0,7438368.0,75.0,69.0,0.0,0.0,90.0,1217.0,15.0,458.1,1048576.0,1346.0,698298368.0,1702028117.377,35526328320.0,0.035419199,558.0,558.0,0.0,1.0
2023-12-08 14:38:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.023286543,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,27.0,0.388,1.0,73162752.0,2555904.0,-1.0,71624576.0,0.0,1702028119.794,75300976.0,7864320.0,89128960.0,7864320.0,7634504.0,7864320.0,89128960.0,7864320.0,7634504.0,83.0,77.0,0.0,0.0,90.0,1285.0,19.0,476.39,1048576.0,1364.0,693260288.0,1702028117.377,35526328320.0,0.037708454,558.0,558.0,0.0,1.0
2023-12-08 14:39:24,0.0,0.0,0.0,1702028117.674,0.0,1702028117.67,0.0,1.0,0.0,0.037852152,0.0,0.0,0.0,0.0,6414.0,6414.0,0.0,27.0,0.388,1.0,73162752.0,2555904.0,-1.0,71728608.0,0.0,1702028119.794,76085536.0,12058624.0,89128960.0,12058624.0,8419064.0,12058624.0,89128960.0,12058624.0,8419064.0,77.0,71.0,0.0,0.0,90.0,1324.0,16.0,491.42,1048576.0,1352.0,689020928.0,1702028117.377,35526328320.0,0.055361444,558.0,558.0,0.0,1.0
